datetime,YEAR,MO,DY,HR,latitude,longitude,tilt,azimuth,system_capacity_kw,ghi,dni,dhi,temp_air,wind_speed,humidity,sun_elevation,sun_azimuth,sun_zenith,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,cell_temperature,dc_power_kw,ac_power_kw,energy_kwh,performance_ratio
2025-09-02 05:00:00+00:00,2025,9,2,5,40.79,-73.95,30,180,5.0,12.4,54.8,11.51,14.13,2.29,10.88,-41.38167881935472,1.4801521974021057,131.3816788193547,10.946636822913565,0.0,10.946636822913565,10.738976198779445,0.20766062413412,14.460145802597998,0.008556105485381436,0.008213861265966179,0.008213861265966179,0.8832108888135677
2025-09-02 06:00:00+00:00,2025,9,2,6,40.79,-73.95,30,180,5.0,142.57,449.65,50.29,16.84,2.59,10.8,-39.19106137002706,20.79370964433417,129.19106137002706,49.30880355096629,0.0,49.30880355096629,46.921208778159716,2.3875947728065716,18.30347878783088,0.03797219501000189,0.03645330720960181,0.03645330720960181,0.3409161086680397
2025-09-02 07:00:00+00:00,2025,9,2,7,40.79,-73.95,30,180,5.0,337.77,656.72,77.23,19.3,2.53,9.88,-33.61532543825491,37.95289115186608,123.6153254382549,77.71314588760238,0.0,77.71314588760238,72.05657096713611,5.656574920466267,21.613918620722316,0.05907428852434709,0.0567113169833732,0.0567113169833732,0.22386561657685491
2025-09-02 08:00:00+00:00,2025,9,2,8,40.79,-73.95,30,180,5.0,515.25,776.11,87.15,21.52,2.5,8.54,-25.56502531612372,52.35505733761164,115.56502531612372,89.94085830741543,0.0,89.94085830741543,81.31205696990693,8.628801337508495,24.202295483126754,0.06767088241733141,0.06496404712063815,0.06496404712063815,0.16811010091059525
2025-09-02 09:00:00+00:00,2025,9,2,9,40.79,-73.95,30,180,5.0,670.05,801.35,124.31,23.42,2.41,7.66,-15.902537898783027,64.45661593645946,105.90253789878302,127.2040187465014,0.0,127.2040187465014,115.9828089722218,11.221209774279604,27.231879548867422,0.09455130191595383,0.09076924983931567,0.09076924983931567,0.1806218438212386
2025-09-02 10:00:00+00:00,2025,9,2,10,40.79,-73.95,30,180,5.0,776.08,860.25,109.89,24.88,2.35,7.31,-5.265045047740717,75.03753077890934,95.26504504774071,115.52564138980759,0.0,115.52564138980759,102.528765810936,12.996875578871602,28.35304047149446,0.08548214458912955,0.08206285880556437,0.08206285880556437,0.1409869408747627
2025-09-02 11:00:00+00:00,2025,9,2,11,40.79,-73.95,30,180,5.0,816.8,883.75,106.38,25.89,2.36,7.3,5.8973525802988656,84.87168843887287,83.96175545718805,154.16309605031876,41.23039854941568,112.93269750090309,99.25389122729429,13.678806273608807,30.5221184725889,0.11306840139626617,0.10854566534041551,0.10854566534041551,0.1771884840685856
2025-09-02 12:00:00+00:00,2025,9,2,12,40.79,-73.95,30,180,5.0,786.05,837.96,161.78,26.58,2.47,7.38,17.23278736015468,94.70877771069621,72.71429176097554,412.57829231193006,248.47165598040158,164.10663633152848,150.94279491212325,13.163841419405243,38.9040113243323,0.29222423948851123,0.28053526990897076,0.28053526990897076,0.47585653144875567
2025-09-02 13:00:00+00:00,2025,9,2,13,40.79,-73.95,30,180,5.0,756.75,809.08,147.5,26.85,2.66,7.38,28.395510830762717,105.39057536290949,61.573655686556265,578.2571155980842,427.96458260821606,150.29253298986814,137.61937352910238,12.673159460765751,43.94857923581881,0.4008213843778041,0.38478852900269195,0.38478852900269195,0.6779667948511254
2025-09-02 14:00:00+00:00,2025,9,2,14,40.79,-73.95,30,180,5.0,617.5,791.45,99.68,26.72,2.86,7.41,38.93289679589644,118.0428720607564,51.046378207011536,678.9360134280339,575.5921431580289,103.34387027000507,93.00270612461644,10.341164145388637,46.582537460175615,0.4652425242424069,0.44663282327271064,0.44663282327271064,0.9643893619923577
