YEAR,MO,DY,HR,QV2M,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,T2M
2025,9,6,7,15.4,219.75,3.46,138.2,202.06,23.76
2025,9,6,8,15.17,369.88,3.77,193.85,296.59,26.2
2025,9,6,9,14.7,519.53,3.92,269.43,329.79,27.85
2025,9,6,10,14.31,606.62,4.48,301.49,336.54,29.02
2025,9,6,11,14.05,672.92,5.27,272.02,450.01,29.59
2025,9,6,12,14.09,619,5.78,323.11,275.34,29.21
2025,9,6,13,14.34,540.83,5.86,274.49,301.09,28.59
2025,9,6,14,14.68,338.52,5.7,210.55,164.81,28.5
2025,9,6,15,14.99,120.82,5.36,99.51,17.21,28.12
2025,9,6,16,15.52,58.05,4.41,48.81,11.22,26.62
2025,9,6,17,16.12,17.35,3,15.1,1.27,24.49
2025,9,6,18,15.82,0,1.61,0,0,22.78
2025,9,6,19,14.98,0,1.57,0,0,21.46
2025,9,6,20,13.83,0,2.71,0,0,20.04
2025,9,6,21,12.79,0,3.44,0,0,18.59
2025,9,6,22,11.94,0,3.17,0,0,17.61
2025,9,6,23,11.09,0,3.76,0,0,16.55
2025,9,7,0,10.78,0,3.29,0,0,16.06
2025,9,7,1,10.85,0,2.65,0,0,16.1
2025,9,7,2,10.99,0,2.31,0,0,16.26
2025,9,7,3,11.07,0,2.41,0,0,16.31
2025,9,7,4,11.06,0,2.2,0,0,16.23
2025,9,7,5,11.07,2.62,1.74,2.81,0,16.18
2025,9,7,6,11.08,25.95,1.52,23.45,0,16.38
2025,9,7,7,11.16,73.38,1.62,63.76,0,16.81
2025,9,7,8,11.38,68.97,1.78,57.28,6.36,18
2025,9,7,9,11.32,116.6,1.74,98.04,0,19.59
2025,9,7,10,10.83,209.8,1.56,162.68,19.86,20.49
2025,9,7,11,10.37,183.3,1.47,146.96,21.89,20.98
2025,9,7,12,9.93,189,1.51,153.77,8.68,21.89
2025,9,7,13,9.5,283.35,1.4,208.66,84.4,22.92
2025,9,7,14,8.99,206.62,1.22,171.38,30.33,23.25
2025,9,7,15,8.8,153,1.42,133.4,2.83,22.89
2025,9,7,16,9.08,120.75,1.07,99.68,27.7,22.18
2025,9,7,17,9.95,40.33,0.98,34.27,21.67,20.75
2025,9,7,18,9.5,0,1.59,0,0,18.87
2025,9,7,19,9.32,0,1.71,0,0,17.89
2025,9,7,20,9.31,0,1.62,0,0,17.08
2025,9,7,21,9.18,0,1.71,0,0,16.43
2025,9,7,22,8.84,0,2.6,0,0,16.26
2025,9,7,23,8.44,0,2.98,0,0,15.81
2025,9,8,0,8.08,0,3.22,0,0,14.9
2025,9,8,1,7.88,0,3.1,0,0,14.06
2025,9,8,2,7.88,0,2.66,0,0,13.24
2025,9,8,3,7.91,0,2.37,0,0,12.37
2025,9,8,4,7.88,0,2.26,0,0,11.76
2025,9,8,5,7.82,7.6,2.23,8.62,28.25,11.3
2025,9,8,6,7.78,116.32,2.48,64.78,262.26,13.27
2025,9,8,7,7.29,280.15,2.65,123.87,440.15,16.31
2025,9,8,8,6.58,441.52,3.35,157.01,546.3,18.97
2025,9,8,9,6.38,432.6,3.18,343.47,56.4,20.54
2025,9,8,10,6.32,584.33,2.95,363.21,222.24,21.8
2025,9,8,11,6.29,774.35,2.56,277.38,618.07,22.81
2025,9,8,12,6.26,792.62,2.08,160.34,787.7,23.62
2025,9,8,13,6.21,721.2,1.77,143.18,798.83,24.07
2025,9,8,14,6.17,624.83,1.59,83.41,854.74,24.15
2025,9,8,15,6.16,461.7,1.53,73.3,796.33,23.95
2025,9,8,16,6.21,273.8,1.49,60.49,675.66,23.31
